,Ag,Al,Cu,Mg,Ni,Pb,Si,Sn,Ti,Zn,EVA,Glass,Steel
2012,5.1487804445347124e-05,0.011269028897472198,0.0005148780444534711,0.0003895586713695131,7.917464268482623e-07,3.4972848302499927e-06,0.004182169776173951,4.39589273802256e-05,3.890729373653117e-09,5.828808050416654e-09,0.004488182198820823,0.04517326239072908,0.007140289861760403
2013,8.225675999607186e-05,0.018003366338762903,0.0008225675999607187,0.0006223577501589587,1.2648916867320483e-06,5.587251622374693e-06,0.0066814217317564045,7.022864886457078e-05,6.215817429891846e-09,9.312086037291153e-09,0.007170306248714189,0.07216866678900645,0.011407305395681666
2014,0.0001266186799739331,0.027712767692407995,0.001266186799739331,0.0009580017107461731,1.947060833561424e-06,8.600514111436966e-06,0.010284781458260037,0.0001081036843173674,9.568071948973627e-09,1.4334190185728276e-08,0.011037326443010776,0.11108997393939415,0.01755938297751714
2015,0.00018924747975202643,0.04142020311553785,0.0018924747975202641,0.001431853573218162,2.910126339583048e-06,1.285454579447727e-05,0.015371894345895731,0.00016157449922224896,1.430068219635596e-08,2.142424299079544e-08,0.016496667102912494,0.16603788317866466,0.02624469766372442
2016,0.0002763123200112974,0.06047590400247264,0.002763123200112974,0.0020905894400854766,4.2489536001737245e-06,1.876838400076737e-05,0.02244385920091765,0.0002359081600096454,2.0879827200853704e-08,3.128064000127895e-08,0.024086092800984792,0.2424249600099119,0.03831878400156673
2017,0.0003959426024770268,0.08665913563648132,0.003959426024770268,0.0029957166715714667,6.0885513399769214e-06,2.689421450787352e-05,0.032160998182332076,0.00033804533513368787,2.991981364000929e-08,4.482369084645587e-08,0.03451424195177102,0.347383604060033,0.05490902128690844
2018,0.000558626272732906,0.12226537290003221,0.0055862627273290605,0.004226587459733873,8.59019645806261e-06,3.794442607242381e-05,0.0453752095116068,0.00047694035549366036,4.221317400557147e-08,6.324071012070633e-08,0.048695346792943885,0.49011550343547416,0.07746986989786529
2019,0.0007774293964083703,0.17015435845919047,0.0077742939640837,0.0058820601501840845,1.195481052967588e-05,5.2806525039059113e-05,0.06314780285920818,0.0006637486827826181,5.874725910595326e-08,8.801087506509851e-08,0.06776837380012585,0.6820842817545135,0.10781332195474568
2020,0.0010682036200679553,0.23379550929789206,0.010682036200679553,0.008082068899004717,1.642615000670535e-05,7.255722702348377e-05,0.08676635064891597,0.0009120040341146222,8.07199150636257e-08,1.2092871170580626e-07,0.09311510801347084,0.9371975157199983,0.14813767183961268
2021,0.0014497850745478573,0.3173114502783988,0.014497850745478567,0.01096912858289982,2.2293864825594403e-05,9.847596732777896e-05,0.11776084426280235,0.001237788200439444,1.0955451365215412e-07,1.6412661221296496e-07,0.126377491403983,1.2719812446504781,0.20105509996088208
2022,0.0019440913120954417,0.4254992305718325,0.019440913120954414,0.014709068229250418,2.989498904448651e-05,0.00013205148534987913,0.1579115678975637,0.0016598138089116742,1.4690727745174046e-07,2.2008580891646505e-07,0.1694660728656781,1.705665019102605,0.26960511592266984
2023,0.0025761149524103476,0.5638289329803778,0.025761149524103473,0.019490982941821684,3.961384313612138e-05,0.00017498139299391044,0.2092485824552179,0.002199418898048457,1.9466679970572534e-07,2.916356549898506e-07,0.2245594543421851,2.260176326171343,0.35725367736256713
2024,0.0033737267819697204,0.7384005786952594,0.03373726781969721,0.025525744142827503,5.1879006175572114e-05,0.0002291588002847357,0.2740357320071632,0.0028803988091345265,2.5493916531676853e-07,3.819313338078929e-07,0.2940871270320775,2.95996783701117,0.46786588391466877
2025,0.004367231939687546,0.9558469905731228,0.043672319396875436,0.03304264165688123,6.715649114802543e-05,0.00029664216948821053,0.3547345943463185,0.003728627269261536,3.3001441355563413e-07,4.944036158136842e-07,0.38069078417653684,3.8316280225560537,0.6056444293717632
2026,0.005588635937321226,1.2231731485457775,0.055886359373212256,0.04228383039369456,8.593845828144905e-05,0.0003796054598935173,0.4539448624559977,0.004771429738939351,4.223110741315379e-07,6.326757664891954e-07,0.4871603401966805,4.9032371902912635,0.7750278139492643
2027,0.007070639557330958,1.5475362050007384,0.07070639557330957,0.053496725707353095,0.00010872775923065528,0.00048026985672436703,0.5743227036662222,0.0060367252824382244,5.343002156058583e-07,8.004497612072784e-07,0.6163463161296044,6.203485649356407,0.9805509574789161
2028,0.00884537754419802,1.9359694247678687,0.0884537754419802,0.06692446028723409,0.00013601854148153567,0.0006008180973417525,0.7184783080711789,0.007551949695753972,6.684101332926995e-07,1.001363495569587e-06,0.7710498915885823,7.7605670906643045,1.2266702820727446
2029,0.010942915394829568,2.3950531807551503,0.10942915394829565,0.08279451081748405,0.0001682731329582282,0.0007432923664412535,0.8888537882026658,0.009342772105962977,8.269127576658944e-07,1.2388206107354225e-06,0.9538918702662753,9.600859733199524,1.5175552481508925
2030,0.013389527092115928,2.930538005066882,0.1338952709211593,0.1013056672441224,0.00020589555811461292,0.0009094773119173085,1.0875832855011147,0.011431624545627279,1.0117935095080057e-06,1.5157955198621808e-06,1.1671625502938794,11.7474152789319,1.8568495118311714
2031,0.016205785379898068,3.546926611449389,0.16205785379898072,0.12261358372337972,0.0002492021714078666,0.00110077032769119,1.316337850197381,0.013836071480007315,1.2246069895564487e-06,1.8346172128186492e-06,1.4126552538703605,14.218283399344534,2.247406085702846
2032,0.01940450092067322,4.2470228430152694,0.19404500920673212,0.14681518621113127,0.00029838996698771075,0.0013180415719702561,1.576158046481098,0.01656705031434836,1.4663212488169095e-06,2.19673595328376e-06,1.6914866840284954,17.024703637949145,2.6910015427726064
2033,0.022988545298604147,5.031455197430342,0.22988545298604146,0.17393220122151432,0.0003535031022332524,0.0015614860957542441,1.86727712283945,0.019627012731355427,1.7371532815265967e-06,2.6024768262570725e-06,2.003907156217946,20.169195403492314,3.1880341121649143
2034,0.026948586189412958,5.898181128248872,0.26948586189412965,0.20389402003687918,0.00041439807064852003,0.0018304700053186158,2.188937048026845,0.023007991039074274,2.036397880916961e-06,3.0507833421976933e-06,2.349103173492224,23.643570902032124,3.737209594192174
2035,0.03126075674071716,6.841976947024889,0.31260756740717155,0.23652006515146373,0.00048070786308838654,0.0021233721559732414,2.5391992031846673,0.026689608349385878,2.362251523520231e-06,3.5389535932887345e-06,2.7249942668323257,27.426890347987694,4.335218151778699
2036,0.035884286880300785,7.853919392669608,0.358842868803008,0.271501868660389,0.0005518055435367009,0.0024374232597940164,2.9147519815036786,0.030637056251577567,2.711633376520844e-06,4.0623720996566944e-06,3.1280265167356536,31.483383772339376,4.97640582207945
2037,0.04075915864011325,8.920872457081389,0.4075915864011324,0.30838533235255494,0.0006267681941828734,0.002768546624611467,3.310720338597878,0.03479909298990801,3.0800081198802558e-06,4.614244374352444e-06,3.5529681682513816,35.76039390123143,5.652449358581744
2038,0.045803928302383785,10.025010722785883,0.45803928302383795,0.3465542499859603,0.0007043434257819393,0.0031112102243128614,3.7204888932407965,0.039106184069488036,3.461221374548058e-06,5.185350373854769e-06,3.992719787868171,40.186465397374455,6.35205420797209
2039,0.05091399540460339,11.143440503649046,0.5091399540460338,0.3852172105140747,0.0007829227595236182,0.0034583091218221176,4.1355613248456145,0.04346902437845856,3.847368898027105e-06,5.763848536370194e-06,4.438163373005051,44.66982615686901,7.060714457053489
2040,0.055960783604792064,12.248020562558262,0.5596078360479205,0.42340140048153985,0.0008605290309038779,0.00380110982975946,4.545493838087354,0.04777783883239323,4.228734685607398e-06,6.335183049599099e-06,4.878090948191307,49.097668634393024,7.760599235758898
2041,0.06079249265118733,13.305526693467412,0.6079249265118732,0.45995829345520967,0.0009348279530324088,0.004129301387627819,4.937956242704932,0.05190302438615522,4.593847793735947e-06,6.882168979379696e-06,5.299270114122366,53.33680959019266,8.43065699974013
2042,0.06523721237321897,14.27833327413849,0.6523721237321897,0.49358721059737365,0.0010031760015881785,0.004431206878180913,5.298984891824674,0.05569780867713507,4.929717651976264e-06,7.385344796968184e-06,5.6867154936655036,57.236422176503446,9.047047376286029
2043,0.0691091636996903,15.125779224837876,0.691091636996903,0.5228825404448266,0.001062716385193351,0.004694207345639342,5.613489617493712,0.05900357844171672,5.222305672023768e-06,7.823678909398901e-06,6.024232760237154,60.633511547841486,9.584006664013657
2044,0.07221855794468338,15.806325889779758,0.7221855794468338,0.5464083346380761,0.0011105306551871124,0.004905411483035099,5.86605456512947,0.061658297113149504,5.457270274876546e-06,8.175685805058495e-06,6.295278069895044,63.36156498920335,10.015215111196659
2045,0.07438500032785278,16.280490637794188,0.7438500032785278,0.5627997194616785,0.001143844816362264,0.005052566060005095,6.042026913422759,0.06350794839311959,5.620979741755667e-06,8.42094343334182e-06,6.484126443673205,65.26231160839913,10.315655705843735
2046,0.07545355236107681,16.514362403556436,0.7545355236107681,0.5708844244677699,0.001160276324042974,0.005125146952827859,6.1288215644233155,0.06442024989318351,5.701725985020994e-06,8.541911588046432e-06,6.577271922795752,66.19981480735986,10.46384169535688
2047,0.07531166757830764,16.483308375629594,0.7531166757830761,0.5698109188471955,0.0011580945108739756,0.005115509495885045,6.1172967721625335,0.0642991124135551,5.691004314172113e-06,8.525849159808408e-06,6.564903853052475,66.07533098851518,10.444165220765301
2048,0.07390447853997062,16.175319831389796,0.7390447853997064,0.5591640734816644,0.0011364556605674727,0.00501992684422442,6.002995851218367,0.06309769158365419,5.584668614199668e-06,8.366544740374032e-06,6.442239450088006,64.84072173789875,10.24901730695819
2049,0.07124562376377958,15.5933818049027,0.7124562376377958,0.5390470779108606,0.0010955694974996296,0.004839325387728424,5.787026609491908,0.060827631609642004,5.383749493847873e-06,8.065542312880707e-06,6.210467580918145,62.50795292482548,9.880289333278869
2050,0.0674211760738473,14.756332876540164,0.6742117607384729,0.5101111623700522,0.0010367595943431237,0.004579551582374535,5.47638043392288,0.057562419195124365,5.09475113539167e-06,7.632585970624224e-06,5.877091197380652,59.152541272337736,9.349917814014674
