,Ag,Al,Cu,Mg,Ni,Pb,Si,Sn,Ti,Zn,EVA,Glass,Steel
2025,0.0004150403965725445,0.09562003178235381,0.004368846279710992,0.001223029665133434,2.754433932764958e-06,2.8488174986190928e-05,0.03548657213991666,0.00011936017760417961,1.7167092947407758e-08,1.3353832024776997e-08,0.0,0.38330443774822875,0.0575574889586453
2026,0.000699324849017516,0.16111555607950714,0.007361314200184379,0.0020607512978893516,4.641100264135114e-06,4.800132429403249e-05,0.0597933162864033,0.00020111665965786768,2.8925798025101863e-08,2.2500620762827727e-08,0.0,0.6458511515256106,0.09698184226941024
2027,0.0011420657257870163,0.2631174263978032,0.012021744481968591,0.0033654079788484523,7.579369657829819e-06,7.83908470371386e-05,0.09764832074504677,0.00032844313226208533,4.723865105310904e-08,3.6745709548658716e-08,0.0,1.0547379592670556,0.15838081291574663
2028,0.0018013517896475094,0.41500855531104497,0.01896159778576326,0.00530817408202584,1.1954750754929804e-05,0.00012364392820301482,0.15401826125983178,0.0005180451621468908,7.450834631817089e-08,5.795809134516317e-08,0.0,1.6636118812037584,0.24981010667753203
2029,0.002736136896221654,0.6303711617908874,0.028801441012859513,0.008062773213354649,1.8158493423484916e-05,0.0001878071323404575,0.23394378030256646,0.0007868771054079353,1.1317336047807776e-07,8.803459328458945e-08,0.0,2.526918881316919,0.3794453997590406
2030,0.0039952466511292885,0.9204540447487534,0.04205522790662409,0.011773083329256256,2.6514630952827248e-05,0.00027423182574583553,0.3415995398830504,0.0011489805662036165,1.6525324082704781e-07,1.2854616831836045e-07,0.0,3.6897511276566415,0.5540577902981183
2031,0.005606789401240017,1.2917330100175612,0.059018835802526516,0.01652193333588841,3.7209705629083466e-05,0.00038484735195005976,0.4793888455280691,0.0016124391366426113,2.3191061781573913e-07,1.8039719622659044e-07,0.0,5.178067669466949,0.777545322624795
2032,0.00757257075262064,1.7446240462840001,0.07971127108021724,0.022314643943720437,5.025570043670678e-05,0.0005197776468928883,0.6474660792459156,0.0021777720853614077,3.132201757578498e-07,2.4364577198104134e-07,0.0,6.993536047603967,1.0501583968256922
2033,0.009869663549500501,2.273845028286113,0.10389119525790001,0.029083654038518144,6.550045829325902e-05,0.0006774490015307593,0.8438709350665274,0.00283838586289508,4.082335910266087e-07,3.175542194675434e-07,0.0,9.114982225457265,1.3687174922420504
2034,0.012457251130016462,2.8699923159521536,0.1311289592633312,0.036708686199812164,8.267309761857003e-05,0.0008550597796491934,1.065113527601209,0.003582542132326483,5.15262585965686e-07,4.0080927171055953e-07,0.0,11.504710576877171,1.727562185011717
2035,0.015284537539089968,3.521363166900569,0.16088986883252596,0.045040056299399764,0.00010143650881205389,0.0010491233711041694,1.306850727026461,0.004395632642820711,6.322061147747521e-07,4.917765802050793e-07,0.0,14.115809246627279,2.119648130420967
2036,0.01829624162517977,4.215221506496235,0.1925920171071556,0.05391486335507295,0.00012142381606859629,0.0012558453040043955,1.5643559125401978,0.005261759259833232,7.567776128818156e-07,5.886774862520604e-07,0.0,16.89722414242025,2.5373089800956854
2037,0.021434502238981214,4.938236861413745,0.22562633935769696,0.06316260371792737,0.00014225102131391404,0.0014712540166418888,1.8326818696884637,0.006164281875281987,8.865838006534714e-07,6.896503203008854e-07,0.0,19.79551845308096,2.9725205935190933
2038,0.024637917716914683,5.676263068842308,0.2593465022833125,0.07260234064863219,0.00016351062969428083,0.001691134928096468,2.106578664772944,0.007085542175589365,1.0190849540664652e-06,7.927194975452193e-07,0.0,22.75398557768685,3.4167678343268473
2039,0.027839177395372554,6.413792607474115,0.293043972582869,0.08203572492852881,0.00018475593101616167,0.0019108678665026328,2.38029113579104,0.008006182496226309,1.15149693830393e-06,8.957193124231088e-07,0.0,25.710461745478128,3.860716110490345
2040,0.030962660558022603,7.133403425482863,0.3259227427160273,0.09123991950335276,0.00020548506505388778,0.002125262261936963,2.647353598853768,0.008904455310430335,1.2806918943026382e-06,9.962166852829513e-07,0.0,28.59510855904768,4.293878398140869
2041,0.03392303406687032,7.8154358525460905,0.3570845691249507,0.0999634670208848,0.00022513171466623076,0.0023284608884826976,2.9004699435526655,0.009755819926281672,1.4031402333200422e-06,1.0914660414762644e-06,0.0,31.32911785718908,4.704420762103714
2042,0.03662556960952665,8.4380656895831,0.3855323116792279,0.10792722468650384,0.00024306721122191322,0.002513961639930966,3.1315407580737293,0.010533033722858909,1.5149237590625663e-06,1.17841951871764e-06,0.0,33.825004703932265,5.0792063515098285
2043,0.03896865814803945,8.977883505804519,0.41019640155831,0.11483177377208766,0.0002586172218503949,0.0026747901203500375,3.3318783183179708,0.011206875272762885,1.6118396714817671e-06,1.2538078689140798e-06,0.0,35.98892957068191,5.404144101662076
2044,0.04084874120939793,9.411030745362782,0.42998674957260985,0.1203719510077134,0.0002710944761692218,0.0028038381255149807,3.492628220585066,0.011747562516625266,1.6896045370941834e-06,1.3142991213351467e-06,0.0,37.725252556842186,5.664872601680657
2045,0.04216752841260661,9.714862553847798,0.44386872013270123,0.12425811699262052,0.00027984666572140014,0.0028943590505256895,3.605386490889205,0.012126828429285873,1.7441528236761576e-06,1.3567308049339165e-06,0.0,38.94319903051057,5.847761015710541
2046,0.042840914273628655,9.87000209680422,0.4509569923539858,0.12624243199162433,0.00028431562074544224,0.0029405799350478773,3.66296198506398,0.012320485376010782,1.7720057212762473e-06,1.3783968445536927e-06,0.0,39.56509461218933,5.941145658701332
